child	age	verb_types	lexical_types	morph_types	dir_types	noncaus_types	verb_tokens	lexical_tokens	morph_tokens	dir_tokens	noncaus_tokens	verb_entropy	verb_var	lex_entropy	lex_var	morph_entropy	morph_var	dir_entropy	dir_var	noncaus_entropy	noncaus_var	dir_inv_entropy	dir_inv_var	verb_obj	lex_obj	morph_obj	dir_obj	noncaus_obj
c1	1011	85	26	7	1	57	486	185	13	2	291	3.831151455552436	0.06006958683072007	2.62859530876249	0.08208983889604803	2.5259021461442503	0.41841505036505616	0.9158895396089773	0.9093171794610689	3.446929764251695	0.08078935760696579	3.0623905758455296	0.0697198076077705	0.29761	0.344595	0.416865	0.499703	0.270966
c1	1024	67	16	7	1	47	303	92	19	1	198	3.8708203479042678	0.06934172850187906	2.4326003516103074	0.11011166785834303	1.9795417579214702	0.31674463903193145	2.191013130113055	1.2959099782815378	3.545529167474897	0.07844784223291039	3.327706698525565	0.08758495265227943	0.306712	0.385229	0.27734	0.0	0.268081
c1	1038	63	14	6	1	47	259	80	14	1	168	3.8610566558394015	0.06290651098849474	2.256368796478746	0.11881127035705376	1.936204634716294	0.37382165463295747	1.9356003859915083	1.153957917332476	3.6549705689772005	0.07617454342701624	3.1008747770676157	0.09114299253146584	0.313361	0.421209	0.285247	0.0	0.268228
c1	1052	73	17	2	0	54	507	141	4	0	362	3.6744385639473607	0.053395637158102256	2.468816210433835	0.08304139243579146	1.287128203304786	0.709427243714368	0	0	3.2675497099660187	0.06131185068584543	3.20301520370476	0.06710070555255113	0.260079	0.39377	0.49968	0	0.2057
c1	1064	69	12	9	3	54	266	84	15	4	167	3.788580419041772	0.061046866398174325	1.984462583909752	0.10369289849598805	2.7939298741627803	0.38368008898903566	2.204133221001007	0.7594439768399727	3.6914218077900043	0.09496523804769097	3.1217439863010257	0.08652793141721062	0.237373	0.255925	0.133957	0.0	0.237869
c1	1080	87	20	9	1	64	531	111	24	1	401	3.944785715646798	0.05226421742842011	2.549197592264294	0.10725044454857836	2.3108969684146494	0.2756668516278612	1.9756217418715813	1.1761392224946752	3.6196880335694632	0.05859970097522865	3.363333483989744	0.06211802629498088	0.292895	0.407817	0.416114	1.0	0.25822
c1	1098	82	17	8	2	63	461	138	23	2	304	3.791244524527494	0.05242517791375781	2.263642899904776	0.09572199258319498	2.0905957982613614	0.27415733663630965	2.430473440355893	0.9268542271840305	3.543108556673221	0.06585431826392749	3.236758744676391	0.06850403490325042	0.329923	0.474705	0.477645	1.0	0.255223
c1	242	17	4	0	0	13	56	15	0	0	41	2.460874269681763	0.13074814984300853	1.1253515698310836	0.24430680022515736	0	0	0	0	2.1824521456894823	0.16624526775867307	2.093761548453223	0.15733036228606503	0.125369	0.200784	0	0	0.097398
c1	273	16	3	0	0	13	67	13	0	0	54	2.270888535079528	0.16183530367104235	1.0079849555339635	0.1663421009782252	0	0	0	0	1.9496302709966646	0.18906575460795538	2.021658075194235	0.19657403973946988	0.19492400000000001	0.230841	0	0	0.185655
c1	289	18	4	1	0	13	85	12	1	0	72	2.4923375708239135	0.12737709610700212	1.254943248330164	0.23163026057626587	1.7328678834814655	1.0419556309258762	0	0	2.134712041294692	0.12320123745360975	1.9300598536257976	0.16877903458138127	0.246901	0.416563	0.0	0	0.222118
c1	300	34	7	0	0	27	165	21	0	0	144	2.7101942538134747	0.11703530383987225	1.8621060827413896	0.19134991715333388	0	0	0	0	2.382251450563096	0.12412414502626429	2.3199636817313944	0.17058658371846538	0.306563	0.473992	0	0	0.284945
c1	315	48	11	1	0	36	252	74	1	0	177	3.3133116740947	0.07471238523748014	1.7514592407590344	0.13320376361822872	2.191013130113055	1.2959099782815378	0	0	3.087518840283778	0.08963377393741716	2.664852539739654	0.10250039664857434	0.20968	0.299579	0.0	0	0.176492
c1	331	33	7	2	0	25	102	26	2	0	74	3.1316456366760343	0.13345836176533848	1.7035647468546098	0.18885951988723926	2.5571922486523753	0.9884821522374867	0	0	2.8003449284465165	0.16586062671322988	2.537769921124587	0.16800573013842576	0.215555	0.345966	0.499805	0	0.161491
c1	346	52	14	4	1	35	168	45	5	1	120	3.637419330533316	0.095156498736695	2.4041209219604345	0.1602159012831614	2.738118594666062	0.8013219262897114	1.9560113762662146	1.1652675375815424	3.1940464177318	0.11236203929288358	2.858690758125317	0.11881630515900861	0.223705	0.284756	0.599455	1.0	0.183532
c1	368	33	9	2	2	23	233	47	2	2	185	2.5093186437175836	0.09610375417647565	1.762372885677341	0.16473957743873277	2.452069729235677	0.9373072369267196	2.1450951613315064	0.7907730099038541	2.0274313075183907	0.10404031565199519	2.323225296228333	0.12126449997984386	0.155476	0.234497	1.0	1.0	0.13037100000000001
c1	382	24	6	2	1	17	66	20	2	1	44	2.9387045980955357	0.14201911085437885	1.4938556138825296	0.15903834513584733	2.1258438345991104	0.7817363263546784	1.4166066410649738	0.86839064861539	2.592513858127838	0.19975799063442173	2.25525753131719	0.1584059771781915	0.181343	0.150426	0.499619	1.0	0.181975
c1	396	54	12	6	3	38	221	64	9	6	152	3.3961506734902476	0.09199500212131137	1.8159586397586838	0.16443664366211616	2.5555587187467674	0.5699675656143328	1.5142347007032477	0.5819553142471979	3.0640327462276944	0.10131444340398066	2.7820123120721743	0.10837348321325536	0.30357	0.359333	0.556146	0.500486	0.26360100000000003
c1	410	10	3	1	1	7	38	15	2	2	23	1.988234502881282	0.1809238340337477	0.8280127325549713	0.19906384081105521	0.8062315363338339	0.7714903642410091	0.7125319930209865	0.667907739470445	1.612436197942873	0.24262419294397486	1.5516201184548457	0.2046323984717139	0.184092	0.133763	0.0	0.0	0.217035
